,director_name,gross
584,Howard Zieff,129647242.0
1454,Stephen Daldry,129610440.0
393,Don Bluth,129142655.0
651,Jason Friedberg,128803031.0
661,Jay Russell,127798476.0
344,David McNally,127521261.0
302,Daniel Espinosa,127355790.0
1222,Peter Farrelly,127175354.0
1030,Mel Gibson,126959152.0
1172,P.J. Hogan,126805112.0
1475,Steve Hickner,126597121.0
1372,Ronny Yu,126185101.0
1385,Ryan Coogler,125810727.0
1075,Michael Sucsy,125014030.0
830,Josh Boone,124868837.0
647,Jared Hess,124738949.0
634,James McTeigue,124607857.0
657,Jay Chandrasekhar,122930669.0
953,Luis Llosa,122920570.0
969,Marc Lawrence,122887883.0
594,Iain Softley,122825317.0
1298,Richard LaGravenese,122610488.0
1209,Penelope Spheeris,121697350.0
1581,Tony Bancroft,120618403.0
775,John R. Leonetti,120191243.0
264,Cody Cameron,119793567.0
585,Hoyt Yeatman,119420252.0
1247,Phil Alden Robinson,118471320.0
840,José Padilha,117222074.0
336,David Gordon Green,117059369.0
990,Mark Neveldine,115434792.0
1039,Michael Caton-Jones,114795663.0
374,Denis Villeneuve,114695442.0
187,Byron Howard,114053579.0
746,John Erick Dowdle,113758254.0
1405,Scott Cooper,113352817.0
1445,Stanley Kubrick,112353051.0
1456,Stephen Gaghan,112349943.0
1635,William Brent Bell,112117515.0
1497,Stuart Baird,111869879.0
1481,Steve Pink,111133980.0
186,Burr Steers,110875581.0
919,Lawrence Guterman,110385797.0
340,David Koepp,110009619.0
740,John Cornell,109306210.0
704,Jim Sheridan,109268592.0
1217,Peter Billingsley,109176215.0
732,John A. Davis,109054107.0
664,Jean-Jacques Annaud,108245920.0
789,Jon Avnet,108053123.0
1170,Oren Peli,107917283.0
470,Frank Miller,107631297.0
449,Evan Goldberg,107575377.0
261,Clay Kaytis,107225164.0
409,Duncan Jones,106685574.0
1154,Noam Murro,106369117.0
1158,Norman Jewison,105788950.0
193,Carl Franklin,105657924.0
1521,Terence Young,104467035.0
123,Bennett Miller,104353062.0
811,Jonathan Levine,103400972.0
1239,Peter Ramsey,103400692.0
669,Jeannot Szwarc,102922376.0
1345,Robert Stevenson,102300000.0
599,Irwin Winkler,101953173.0
1370,Ron Shelton,101354726.0
159,Brenda Chapman,101217900.0
42,Alexandre Aja,101117513.0
725,Joel Coen,100911341.0
61,Andrew Niccol,100638459.0
1280,Reginald Hudlin,100623057.0
596,Igor Kovalyov,100491683.0
140,Bo Welch,100446895.0
28,Alejandro Amenábar,99176030.0
1214,Pete Travis,99069672.0
1161,Ole Bornedal,98244638.0
1219,Peter Cattaneo,98192469.0
714,Joe Carnahan,97628743.0
1327,Rob Zombie,97420400.0
339,David Kellogg,97360069.0
1086,Miguel Arteta,97298155.0
209,Charles Herman-Wurmfeld,96831312.0
1479,Steve Miner,96786199.0
506,Gavin O'Connor,96526219.0
920,Lawrence Kasdan,96491837.0
1067,Michael Patrick King,95328937.0
1183,Patrick Lussier,95234950.0
793,Jon Hurwitz,94811446.0
419,Edgar Wright,94580593.0
778,John Schultz,94476214.0
897,Kimberly Peirce,92978933.0
546,Gregory Hoblit,92748354.0
749,John Frankenheimer,92634354.0
1116,Morten Tyldum,92318204.0
1574,Tom Vaughan,92131606.0
762,John Luessenhop,92078976.0
1515,Tamra Davis,91656314.0
721,Joe Pytka,90443603.0
444,Etan Cohen,90353764.0
190,Callie Khouri,90255387.0
1307,Rick Famuyiwa,90131409.0
1487,Steven Quale,90129230.0
768,John Milius,89722612.0
846,Julie Anne Robinson,89338546.0
1337,Robert Iscove,88869047.0
1383,Russell Mulcahy,88603927.0
668,Jean-Pierre Jeunet,88478467.0
1199,Paul McGuigan,87971773.0
1071,Michael Ritchie,87937142.0
726,Joel Edgerton,87542582.0
1387,Ryan Murphy,87328908.0
1283,Ric Roman Waugh,85838192.0
1458,Stephen Hillenburg,85416609.0
1592,Trey Parker,85365146.0
1508,Sylvain White,84884176.0
1550,Tod Williams,84749884.0
1097,Mike Judge,84710239.0
1157,Norman Ferguson,84300000.0
1149,Niki Caro,83566640.0
697,Jim Abrahams,83400000.0
360,David Soren,83024900.0
20,Alan Parker,82627204.0
1287,Richard Attenborough,82541797.0
486,Gabor Csupo,82234139.0
1014,Mathieu Kassovitz,82119766.0
528,Gil Kenan,81532703.0
579,Henry Selick,80689575.0
1360,Roger Kumble,80228423.0
583,Howard Deutch,80212892.0
773,John Polson,79661590.0
733,John Badham,79568000.0
105,Barbet Schroeder,78692160.0
1069,Michael Pressman,78656813.0
563,Harald Zwart,78450920.0
214,Charles Stone III,78198464.0
35,Alex Kendrick,78148363.0
1436,Simon Wells,78064134.0
948,Luc Jacquet,77413017.0
152,Brad Furman,77298535.0
375,Dennie Gordon,77096564.0
954,Luis Mandoki,76843536.0
1495,Stig Bergqvist,76501438.0
665,Jean-Marc Vallée,76165854.0
1197,Paul King,76137505.0
327,David Carson,75668868.0
781,John Stockwell,75519906.0
226,Chris Koch,75417125.0
1449,Stefen Fangmeier,75030163.0
847,Julie Taymor,74726773.0
1289,Richard Curtis,74659658.0
1179,Patricia Riggen,73882165.0
1608,Victor Salva,73669003.0
885,Kevin Greutert,73340268.0
869,Kelly Asbury,73215310.0
700,Jim Gillespie,72219395.0
50,Amy Heckerling,72098562.0
426,Eli Roth,72008808.0
514,George Cukor,72000000.0
1077,Michael Tollin,71971376.0
1468,Steve Beck,71947276.0
298,Dan Trachtenberg,71897215.0
1438,Simon Wincer,71738839.0
1371,Ron Underwood,71706195.0
527,Gil Junger,71598914.0
67,Andrés Muschietti,71588220.0
1428,Sharon Maguire,71500556.0
881,Kevin Bray,71342970.0
1100,Mike McCoy,70011073.0
1282,Rian Johnson,69987942.0
265,Colin Higgins,69700000.0
229,Chris Noonan,69575649.0
1412,Scott Stewart,69304706.0
16,Akiva Schaffer,68701106.0
1365,Roman Polanski,68683523.0
1227,Peter Howitt,68669436.0
1434,Sidney Lumet,68314622.0
1301,Richard Loncraine,68176655.0
777,John Schlesinger,68129572.0
362,David Wain,68032787.0
1151,Nimród Antal,67989564.0
995,Mark Rosman,67678935.0
1129,Neil LaBute,67287398.0
1440,Sofia Coppola,67156366.0
693,Jessie Nelson,66555370.0
706,Jimmy Hayward,66287138.0
1525,Terry Zwigoff,66258395.0
73,Angela Robinson,66098797.0
547,Gregory Jacobs,66009973.0
377,Dennis Iliadis,65443270.0
589,Hugh Hudson,65343194.0
