director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Douglas Aarniokoski,219.0,185.0,72.0,1276.0,2000.0,12801190.0,23626,7450,1.0,430.0,25000000.0,4013.0,1734.0,9.2,4.7,356
Benh Zeitlin,663.0,93.0,188.0,168.0,2000.0,12784397.0,70336,2658,0.0,269.0,1800000.0,2012.0,458.0,7.3,1.85,31000
Jerry Zaks,45.0,98.0,4.0,11000.0,29000.0,12782508.0,20163,63194,2.0,71.0,23000000.0,1996.0,22000.0,6.7,1.85,1000
Sammo Kam-Bo Hung,63.0,86.0,472.0,64.0,472.0,12674183.0,19774,773,1.0,70.0,0.0,1997.0,155.0,6.2,2.35,355
James Isaac,205.0,85.0,52.0,489.0,1000.0,12610731.0,38985,3050,1.0,673.0,11000000.0,2001.0,935.0,4.4,1.85,0
Robert Marcarelli,39.0,100.0,0.0,440.0,488.0,12610552.0,4682,2428,0.0,206.0,7500000.0,1999.0,488.0,3.5,1.37,129
Bryan Barber,81.0,121.0,16.0,526.0,907.0,12549485.0,4603,3633,4.0,91.0,15000000.0,2006.0,585.0,6.2,2.35,489
David Mamet,255.0,209.0,684.0,894.0,1623.0,12544847.0,37258,3880,0.0,382.0,17000000.0,4005.0,1026.0,14.1,4.2,578
Theodore Witcher,16.0,104.0,28.0,582.0,962.0,12514138.0,2801,3871,0.0,28.0,10000000.0,1997.0,826.0,7.4,1.85,1000
Steve Carver,29.0,107.0,8.0,268.0,926.0,12200000.0,7973,2383,0.0,65.0,5000000.0,1983.0,400.0,6.3,1.85,0
Jee-woon Kim,528.0,242.0,838.0,172.0,1369.0,12155156.0,140397,2212,2.0,332.0,55000000.0,4021.0,385.0,13.7,4.7,24000
Douglas McGrath,378.0,339.0,123.0,2289.0,20000.0,12099494.0,39975,38121,5.0,273.0,47000000.0,6019.0,12812.0,19.2,6.05,0
Tamara Jenkins,261.0,205.0,168.0,910.0,23000.0,12090644.0,41615,26461,0.0,206.0,5000000.0,4005.0,1707.0,13.8,3.7,462
Christine Jeffs,195.0,91.0,19.0,260.0,968.0,12055108.0,61151,2528,0.0,134.0,8000000.0,2008.0,934.0,6.9,2.35,0
Jay Duplass,549.0,343.0,628.0,913.0,4282.0,12032085.0,93546,7590,7.0,349.0,17015000.0,8034.0,1972.0,25.4,5.55,740
Stewart Hendler,167.0,101.0,10.0,472.0,1000.0,11956207.0,24012,3142,2.0,126.0,16000000.0,2009.0,668.0,5.1,2.35,0
Prachya Pinkaew,112.0,111.0,64.0,380.0,778.0,11905519.0,30210,2205,0.0,214.0,200000000.0,2005.0,635.0,7.1,1.85,0
Daniel Taplitz,39.0,85.0,2.0,127.0,911.0,11827301.0,4247,1345,1.0,26.0,0.0,2004.0,150.0,5.5,2.35,266
Newt Arnold,61.0,92.0,15.0,49.0,633.0,11806119.0,57578,1168,1.0,210.0,1100000.0,1988.0,403.0,6.8,1.85,0
Rusty Cundieff,25.0,98.0,38.0,360.0,1000.0,11797927.0,4582,3221,0.0,52.0,6000000.0,1995.0,475.0,6.1,1.85,985
Charles T. Kanganis,5.0,93.0,18.0,181.0,400.0,11784000.0,6701,1151,0.0,26.0,20000000.0,1994.0,220.0,4.3,1.85,444
Jim Hanon,47.0,108.0,2.0,30.0,772.0,11703287.0,4360,1058,3.0,148.0,10000000.0,2005.0,232.0,7.0,2.35,1000
Dominique Othenin-Girard,137.0,96.0,2.0,120.0,742.0,11642254.0,22929,1308,1.0,287.0,3000000.0,1989.0,256.0,5.2,1.85,926
Michael Winterbottom,890.0,735.0,1309.0,2944.0,42003.0,11640241.0,95315,54106,10.0,776.0,79300000.0,14039.0,4413.0,43.6,16.45,2443
Gary Halvorson,44.0,73.0,11.0,142.0,1000.0,11634458.0,2045,2020,0.0,37.0,17000000.0,1999.0,436.0,5.8,1.85,339
Albert Brooks,97.0,97.0,745.0,745.0,12000.0,11614236.0,9294,15209,2.0,140.0,15000000.0,1999.0,821.0,5.6,1.37,251
Matty Rich,15.0,201.0,20.0,592.0,1204.0,11592998.0,1578,3673,4.0,22.0,450000.0,3985.0,792.0,12.4,3.7,283
Chris Roberts,85.0,100.0,38.0,362.0,811.0,11576087.0,14747,2497,3.0,338.0,30000000.0,1999.0,586.0,4.1,2.35,858
Chia-Liang Liu,77.0,102.0,32.0,75.0,483.0,11546543.0,34520,768,1.0,146.0,2000000.0,1994.0,147.0,7.6,2.35,0
Lance Rivera,21.0,97.0,3.0,578.0,1000.0,11540112.0,2385,3835,1.0,20.0,0.0,2004.0,584.0,3.6,1.85,177
Fred Durst,47.0,94.0,258.0,424.0,721.0,11508423.0,3174,2453,2.0,19.0,23000000.0,2008.0,463.0,5.1,2.35,376
Roland Joffé,131.0,455.0,2384.0,3350.0,12120.0,11468392.0,20178,23279,7.0,173.0,86000000.0,8036.0,4844.0,20.0,4.7,4297
Robert Butler,44.0,100.0,0.0,745.0,995.0,11466088.0,8983,3952,0.0,84.0,71000000.0,1997.0,879.0,4.7,2.35,316
Brian Klugman,216.0,102.0,49.0,10000.0,24000.0,11434867.0,59637,51355,1.0,130.0,6000000.0,2012.0,14000.0,7.1,1.85,21000
Anand Tucker,348.0,298.0,42.0,808.0,17827.0,11365386.0,96072,21813,7.0,483.0,27000000.0,6022.0,2092.0,19.7,7.05,14429
Hugh Johnson,68.0,102.0,3.0,239.0,372.0,11227940.0,8367,1274,0.0,94.0,34000000.0,1999.0,248.0,5.2,2.35,120
Uwe Boll,506.0,508.0,4460.0,1217.0,28682.0,11217772.0,123028,34383,6.0,1499.0,108500000.0,10040.0,2320.0,18.6,11.18,2658
Emilio Estevez,195.0,112.0,0.0,383.0,12000.0,11204499.0,38142,13528,0.0,270.0,14000000.0,2006.0,593.0,7.0,2.35,0
Steve Gomer,24.0,76.0,9.0,47.0,595.0,11144518.0,2724,1139,0.0,53.0,15000000.0,1998.0,417.0,2.8,1.85,436
